县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
福州市长乐区,75.0,664.0,9515158.0,584418.0,6059273.0,2871467.0,786803.0,649809.0,,3872968.0,127806.0,,350112.0,福建省,福州市,长乐区
永泰县,25.5,2227.0,2826168.0,529429.0,1344280.0,952459.0,122908.0,316190.0,,1084044.0,111048.0,,350125.0,福建省,福州市,永泰县
平潭县,46.0,393.0,2828500.0,359000.0,806400.0,1663100.0,708349.0,953051.0,,2377700.0,61489.0,,350128.0,福建省,福州市,平潭县
连江县,60.0,1168.0,5915573.0,1376394.0,2490480.0,2048699.0,529586.0,714604.0,,3158500.0,99171.0,,350122.0,福建省,福州市,连江县
罗源县,22.0,1100.0,3034011.0,461839.0,1702802.0,869370.0,112775.0,323621.0,,924500.0,140463.0,,350123.0,福建省,福州市,罗源县
永安市,35.8,2931.0,4316519.0,359272.0,2649261.0,1307986.0,270172.0,324787.0,,1467037.0,120742.0,,350481.0,福建省,三明市,永安市
宁化县,28.8,2408.0,1951425.0,282374.0,891117.0,777934.0,96275.0,315752.0,,960600.0,67876.0,,350424.0,福建省,三明市,宁化县
大田县,32.2,2233.0,2178076.0,433914.0,1156217.0,587945.0,110522.0,279581.0,,865200.0,67747.0,,350425.0,福建省,三明市,大田县
清流县,13.6,1806.0,1471784.0,231866.0,811588.0,428330.0,73294.0,202832.0,,433830.0,107823.0,,350423.0,福建省,三明市,清流县
明溪县,10.3,1730.0,1073379.0,200401.0,535965.0,337013.0,52677.0,161804.0,,512600.0,104212.0,,350421.0,福建省,三明市,明溪县
尤溪县,36.3,3420.0,2150516.0,501868.0,844467.0,804181.0,120948.0,303600.0,,1264014.0,59325.0,,350426.0,福建省,三明市,尤溪县
